cohort_week,0,1,2,3,4
44,100.0,10.072262367982212,8.026681489716509,5.436353529738744,4.1467481934408
45,100.0,8.15715535903459,5.103403804523053,3.9288839758647693,
46,100.0,4.05903182109841,2.728201715820243,,
47,100.0,5.701615457713019,,,
48,100.0,,,,
